Produkti,Rajoni
Hard Disk Crucial MX500 1TB,Austin
Hard Disk HDD Seagate 2TB,Chicago
Hard Disk SSD Kingston 512GB,Chicago
Hard Disk SSD Samsung 1TB,Houston
Laptop Acer Swift 3,San Jose
Monitor AOC C24G1,Los Angeles
"Monitor LG Ultragear 27""",Chicago
"Monitor Samsung 24""",Fort Worth
Mouse Dell Wireless WM126,Austin
Mouse Dell Wireless WM126,Fort Worth
Mouse Dell Wireless WM126,New York
Mouse Dell Wireless WM126,San Antonio
Mouse HP USB Optical,Houston
Mouse HP USB Optical,Los Angeles
Mouse HP USB Optical,San Antonio
Mouse Logitech M220,New York
Mouse SteelSeries Rival 3,Houston
Tastiera Gaming Corsair K95,San Jose
Tastiera Logitech K380,New York
Tastiera Microsoft Ergonomic,Los Angeles
